LeftGazeOrigin, LefGazeDirection, RightGazeOrigin, RightGazeDirection, CombinedGazeOrigin, CombinedGazeDirection
(31.38, 2.97, -43.35),(-0.26, -0.02, 0.97), (-32.68, 1.56, -41.21), (-0.20, -0.06, 0.98), (-11.98, 2.02, -41.90), (-0.22, -0.05, 0.97)
(31.72, 2.96, -43.13),(-0.19, -0.04, 0.98), (-32.39, 1.55, -41.14), (-0.16, -0.04, 0.99), (-15.37, 1.93, -41.67), (-0.17, -0.04, 0.98)
(32.02, 2.64, -42.04),(-0.20, 0.00, 0.98), (-32.12, 1.58, -40.94), (-0.13, -0.04, 0.99), (-32.12, 1.58, -40.94), (-0.13, -0.04, 0.99)
(32.21, 2.63, -42.01),(-0.19, -0.01, 0.98), (-31.91, 1.23, -39.73), (-0.13, -0.03, 0.99), (23.84, 2.45, -41.71), (-0.18, -0.01, 0.98)
(32.36, 3.03, -42.73),(-0.15, 0.02, 0.99), (-31.76, 1.48, -39.87), (-0.10, -0.02, 0.99), (32.34, 3.03, -42.73), (-0.15, 0.02, 0.99)
(32.56, 3.25, -43.01),(-0.15, 0.01, 0.99), (-31.53, 1.44, -39.29), (-0.10, -0.01, 1.00), (-28.55, 1.52, -39.46), (-0.10, -0.01, 0.99)
(32.50, 3.15, -42.82),(-0.14, 0.02, 0.99), (-31.61, 1.66, -40.11), (-0.08, -0.01, 1.00), (29.69, 3.08, -42.70), (-0.13, 0.02, 0.99)
(32.46, 3.11, -43.01),(-0.13, 0.02, 0.99), (-31.67, 1.59, -40.12), (-0.07, -0.01, 1.00), (32.43, 3.11, -43.01), (-0.13, 0.02, 0.99)
(32.66, 2.69, -42.39),(-0.10, 0.04, 0.99), (-31.46, 1.60, -40.64), (-0.06, 0.00, 1.00), (24.88, 2.56, -42.18), (-0.09, 0.04, 0.99)
(32.68, 2.34, -42.61),(-0.09, 0.04, 0.99), (-31.41, 1.00, -40.17), (-0.04, 0.01, 1.00), (11.49, 1.90, -41.80), (-0.08, 0.03, 1.00)
(32.76, 1.74, -42.26),(-0.09, 0.02, 1.00), (-31.41, 0.23, -39.37), (-0.05, 0.01, 1.00), (11.72, 1.25, -41.31), (-0.08, 0.02, 1.00)
(32.86, 1.41, -42.45),(-0.09, 0.03, 1.00), (-31.32, 0.31, -40.48), (-0.03, -0.01, 1.00), (31.86, 1.39, -42.42), (-0.09, 0.03, 1.00)
(32.92, 1.17, -42.37),(-0.08, 0.01, 1.00), (-31.27, -0.46, -39.14), (-0.03, -0.01, 1.00), (32.92, 1.17, -42.37), (-0.08, 0.01, 1.00)
(32.96, 1.33, -42.78),(-0.07, 0.01, 1.00), (-31.22, -0.64, -38.50), (-0.04, -0.01, 1.00), (32.96, 1.33, -42.78), (-0.07, 0.01, 1.00)
(33.01, 1.16, -42.58),(-0.07, 0.00, 1.00), (-31.20, -0.37, -39.58), (-0.02, -0.01, 1.00), (22.33, 0.90, -42.08), (-0.06, 0.00, 1.00)
(33.04, 1.24, -42.70),(-0.06, 0.00, 1.00), (-31.17, -0.34, -39.56), (-0.01, -0.01, 1.00), (33.04, 1.24, -42.70), (-0.06, 0.00, 1.00)
(33.00, 1.55, -42.62),(-0.07, 0.00, 1.00), (-31.22, 0.38, -40.46), (-0.01, -0.03, 1.00), (33.00, 1.55, -42.62), (-0.07, 0.00, 1.00)
(32.21, 1.74, -41.92),(-0.15, 0.02, 0.99), (-31.94, 0.25, -39.03), (-0.09, -0.02, 1.00), (31.91, 1.73, -41.90), (-0.14, 0.02, 0.99)
(31.25, 2.21, -42.79),(-0.28, -0.02, 0.96), (-32.79, 0.67, -40.01), (-0.24, -0.03, 0.97), (23.18, 2.02, -42.44), (-0.27, -0.02, 0.96)
(31.24, 2.49, -42.74),(-0.26, -0.03, 0.97), (-32.87, 0.87, -39.99), (-0.22, -0.03, 0.97), (9.62, 1.94, -41.81), (-0.25, -0.03, 0.97)
(31.25, 2.71, -42.70),(-0.25, -0.03, 0.97), (-32.90, 1.04, -39.95), (-0.21, -0.04, 0.98), (-13.44, 1.54, -40.78), (-0.22, -0.04, 0.97)
(31.35, 2.78, -42.64),(-0.23, -0.03, 0.97), (-32.81, 1.07, -39.89), (-0.17, -0.05, 0.98), (-12.90, 1.60, -40.74), (-0.19, -0.05, 0.98)
(31.57, 2.83, -42.54),(-0.20, -0.04, 0.98), (-32.60, 1.08, -39.81), (-0.15, -0.06, 0.99), (-8.12, 1.74, -40.85), (-0.17, -0.05, 0.98)
(31.84, 2.53, -41.48),(-0.18, -0.03, 0.98), (-32.30, 1.13, -39.64), (-0.12, -0.06, 0.99), (-32.30, 1.13, -39.64), (-0.12, -0.06, 0.99)
